epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7575,2.0487,1.61089,1.18249,0.8614,0.81023,0.86694,0.44621,1.49509,0.96378,0.98713,0.000663333,0.000663333,0.000663333
2,84.4878,1.91468,1.05918,1.14042,0.88087,0.76733,0.86647,0.45308,1.48211,0.88607,0.97392,0.00130806,0.00130806,0.00130806
3,121.052,1.86656,0.99997,1.13169,0.92588,0.83003,0.91331,0.50565,1.41866,0.8024,0.97547,0.00193078,0.00193078,0.00193078
4,157.551,1.84498,0.94783,1.12603,0.87263,0.73267,0.81118,0.44791,1.38301,0.90107,0.971,0.001901,0.001901,0.001901
5,194.42,1.83261,0.92268,1.11932,0.8979,0.75466,0.86694,0.47401,1.45259,0.85006,0.98358,0.001868,0.001868,0.001868
6,231.582,1.81797,0.89294,1.10786,0.88505,0.85644,0.91599,0.49189,1.41357,0.75923,0.97096,0.001835,0.001835,0.001835
7,268.233,1.79806,0.87811,1.10885,0.91668,0.87459,0.92646,0.53303,1.30814,0.74133,0.93683,0.001802,0.001802,0.001802
8,304.805,1.79349,0.86196,1.10448,0.9141,0.86041,0.91527,0.50368,1.40042,0.70593,0.96978,0.001769,0.001769,0.001769
9,341.428,1.77001,0.84727,1.104,0.91566,0.89604,0.93695,0.53556,1.38136,0.68962,0.9606,0.001736,0.001736,0.001736
10,378.165,1.76908,0.83687,1.09876,0.91868,0.85749,0.91249,0.52414,1.33384,0.70684,0.94923,0.001703,0.001703,0.001703
11,414.938,1.74348,0.82122,1.09131,0.92969,0.89458,0.94096,0.5574,1.2938,0.65479,0.94269,0.00167,0.00167,0.00167
12,452,1.73015,0.81584,1.08846,0.92449,0.88944,0.935,0.55507,1.30445,0.66868,0.94218,0.001637,0.001637,0.001637
13,489.008,1.72947,0.81162,1.08745,0.93187,0.89769,0.9441,0.56742,1.25537,0.61164,0.93088,0.001604,0.001604,0.001604
14,526.297,1.73236,0.80272,1.08925,0.92693,0.90011,0.946,0.56526,1.27015,0.61833,0.93815,0.001571,0.001571,0.001571
15,563.694,1.72778,0.80095,1.08292,0.91878,0.89598,0.94143,0.55314,1.30236,0.62146,0.94541,0.001538,0.001538,0.001538
16,600.55,1.71195,0.78973,1.08044,0.9411,0.88119,0.93662,0.56579,1.24747,0.60556,0.93172,0.001505,0.001505,0.001505
17,637.523,1.69729,0.78853,1.07697,0.93093,0.90099,0.94329,0.5605,1.29811,0.63212,0.94573,0.001472,0.001472,0.001472
18,674.804,1.68946,0.78086,1.08027,0.92368,0.89874,0.94567,0.56436,1.26641,0.61625,0.93317,0.001439,0.001439,0.001439
19,712.266,1.68135,0.77324,1.07513,0.95605,0.88119,0.9563,0.57242,1.24124,0.60016,0.93288,0.001406,0.001406,0.001406
20,749.697,1.67247,0.77002,1.07052,0.95668,0.89439,0.95497,0.583,1.23158,0.587,0.92458,0.001373,0.001373,0.001373
21,786.965,1.66432,0.75504,1.06984,0.94221,0.89604,0.94816,0.57183,1.27275,0.5943,0.93332,0.00134,0.00134,0.00134
22,824.287,1.65733,0.75138,1.06849,0.93167,0.90924,0.9549,0.57803,1.24896,0.5786,0.93485,0.001307,0.001307,0.001307
23,861.661,1.65807,0.75071,1.06547,0.95982,0.89934,0.95208,0.59365,1.21652,0.57484,0.9232,0.001274,0.001274,0.001274
24,898.701,1.66165,0.75271,1.06577,0.95696,0.86799,0.94861,0.57511,1.28868,0.60147,0.93862,0.001241,0.001241,0.001241
25,936.184,1.64242,0.74225,1.0594,0.94994,0.91419,0.96174,0.60415,1.19535,0.55994,0.92029,0.001208,0.001208,0.001208
26,973.703,1.64171,0.74032,1.06449,0.9409,0.91749,0.95513,0.6066,1.18672,0.564,0.92329,0.001175,0.001175,0.001175
27,1011.08,1.6442,0.73983,1.06106,0.95831,0.88779,0.95279,0.58961,1.19665,0.5677,0.92387,0.001142,0.001142,0.001142
28,1048.58,1.63681,0.72912,1.06235,0.9578,0.89878,0.9541,0.59333,1.2014,0.55551,0.91901,0.001109,0.001109,0.001109
